Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Voyant Photonics,< 30,LiDAR,"Steven Miller, Michel Lipson","New York, NY, USA"
,Aegiq,< 50 ,Full Stack Quantum Computing,"Scott Dufferwiel, Univ. of Sheffield","Sheffield, England"
,Nu-quantum,< 50 ,Photonic-Enabled Quantum Computing,"Dr. Carmen Palacios-Berraquero, University of Cambridge","Cambridge, UK"
,Miraex,50,"photonic and quantum solutions for next-generation sensing, networking and computing","Nicolas Abelé, Karel Dumon and Clément Javerzac-Galy, Miraex, EPFL ","Écublens, Vaud, Switzerland"
,Nordic Quantum Computing Group,CLOSED 11/2024,CLOSED 11/2024,CLOSED 11/2024,"Oslo, Norway "
,Orca Computing,~100,error-corrected photonic quantum computers,"Professor Ian Walmsley, Josh Nunn, Richard Murray, University of Oxford","London, UK and Toronto, Canada, and Austin, Tx, USA"
,Photonic Inc,< 50,Silicon photonic Quantum Computing,"Paul Terry, Stephanie Simmons, Simon Fraser University","Vancouver, BC, Canada"
,Quandela ,< 50,Silicon photonic Quantum Computing,Centre for Nanoscience and Nanotechnology,"Massy, Île-de-France"
,Quix,< 50,photonic quantum processor based upon silicon nitride waveguides,"Hans van den Vlekkert, University of Twente","Ulm, Germany and Stuttgart Germany, and Amsterdam, Netherlands, and Enschede, Netherlands"
,Sparrow Quantum,< 50 ,photonic quantum technology components,"Peter Lodahl, Niels Bohr Institute Quantum Photonics Lab","Copenhagen, Denmark"
,Lumiphase,< 100 ,Optical interconnects and computing using Si Ph and BTO,"Stefan Abel, BTO Modulator Author,  started by IBM Si Ph people","Zurich, Switzerland"
,Enosemi,< 50 ,Photonic-Electronic Design IP and Custom Silicon,"Matt Streshinsky, Came out of Lumious Computing","San Francisco, CA and Toronto, Canada"
,Nexus Photonics,< 20 ,"Advanced heterogeneous integration, SiN, GaAs, GaN, InP","Tin Komljenovic, Chong Zhang, John Bowers, UCSB","Goleta, California, USA"
,Black Semiconductor,< 200,"2D material graphene to create ultra-fast, energy-efficient, and scalable chip fabrics, Graphene-based photonic modulator / detector ", Daniel Schall,"Aachen, Germany"
,Leo Space Photonics,10,Optical Transceivers for Satellite Communications,"Leontios Stampoulidis, Ahmed Osman ","Agia Paraskevi, Athens, Greece"
,Xanadu.ai,190,"Quantum Computing / Optical Comptuing, caling to one million qubits through optical networking",Christian Weedbrook,"Toronto, Canada"
,ANELLO Photonics,30,Silicon Photonics for Fiber Optical Gyroscope tech (FOGs),CEO: Mario Paniccia and CTO Mike Horton,"Santa Clara, CA"
,Arago,15,"Si Photonics for AI acceleration , Photonic–electronic AI inference chip (""JEF"") for 10× lower energy use",CEO: Nicolas Muller; Co-CTOs: Eliott Sarrey & Ambroise Müller,"Paris, France and San Francisco, California"
,Qphox,40,"By optically accessing qubits, our patented quantum transduction technology presents the first viable solution for scaling the performance of today’s most advanced quantum computers through connectivity and parallelization. https://www.nature.com/articles/s41565-023-01515-y",Simon Groeblacher,"Delft, South Holland, Netherlands"
,Optalysys,30,"""Optical Enabled Secure Computing"" Fully Homomorphic Encryption (FHE) solutions enhanced by silicon photonics. currently limited by the speed of electrical computing. To overcome these limitations, we're turning to silicon photonics. ","CEO, Nick New, CTO, Robert Todd","Leeds, England and Bristol, England"
,"Quantum Comptuing, Inc. ",50,"Thin Film Lithium Niobate, telecom/datacom. Applications: Quantum, Reservoir, Remote Sensing, Quan. Crypt. ","CEO William McGann, CTO Yong Meng Sua","Hoboken, New Jersey, USA "
,Pilot Photonics,20,single-chip photonic integrated circuits with comb-enhanced capabilities. Lidar,"CEO: William Oppermann, CTO: Dr. Frank Smyth","Glasnevin, Dublin, Ireland"
,RANOVUS Inc.,81,"Quantum Dot Multi-Wavelength Laser, Optical Interconnects, PICs",CEO: Hamid Arabzadeh and VP of Opt.:Doug Beckett,"Ottawa, Ontario, Canada"
,Cailabs,120,"Free Space Telecommunications, Integrated Photonic solutions, ",CEO: Pu Jian,"Rennes, Bretagne, France and Washington, USA"
,Analog Photonics,20,"LiDAR. Telecommunications, free-space optical communications, and  Silicon PICs","CEO: Michael Watts, MIT","Boston, MA, USA"
,HyperLight,50,"TFLN, 100 GHz, 1dB loss, 1V drive, Transmitters, ","CEO: Mian Zhang, Harvard University","Cambridge, Massachusetts, USA"
,Alcyon Photonics,20,"Alcyon Photonics foundry validated library of Photonics Integrated Circuits, SiPh and IIIV","CEO: Jimena Garcia-Romeu, Photonics Design Lead: Dr. Irene Olivares ","Madrid, Spain"
,Teramount,50,"Silicon Photonic Transceivers and Switches, Chip-to-Chip Interconnects, SiPh Sensors, 5G/6G Networks: Photonic Couplers","CEO: Hesham Taha, CTO: Avi Israel","Jerusalem, Israel"
,EFFECT Photonics,150,"Coherent Pluggable Transceivers, InP PICs, ","CEO: Roberto Marcoccia, CTO: Tim Koene-Ong, ","Eindhoven, Netherlands and Maynard, Massachusetts, USA"
,Look Dynamics,3,"Photonic Convolutional Neural Networks, Integrated, Diffractive Optics, https://lookdynamics.com/","Rikki J. Crill, Jonathan C. Baiardo, David A. Bruce","Longmont, Colorado"
,Freedom Photonics,104,"Tunable Lasers, Custom PICs, Photodetectors, Switches, Optical Delay Lines. InP, GaAs, Si-Ge, Si Photonics, Aquired by Luminar (2022)","CEO: Dr. Milan L. Mashanovitch, Dr. Leif A. Johansson, Dr. Gordon B. Morrison","Goleta, California"
,Allegro EU,50,"sliceable, reliable, and secure architecture for networks, 10 Tb/s optielectronic devices, 1Pbt Fiber",Affliations: https://www.allegro-he.eu/consortium/,"Berlin, Germany"
,NewPhotonics,26,"All-Optical Chips for Digital Signal Processing,  Linear-drive Pluggable Optics (LPO), Co-packaged Optics (CPO), and All-Optics Switch Fabric","CEO: Yaniv Ben-Haim, CTO: Prof. Yosef Ben-Ezra, VP of R&D: Oren Horvits","Petah Tikva, Israel"
,"Lightwave Logic, Inc.",21,"next-generation Electro-Optic – “EO” – polymers modulators, high-effiecent 200 Gbps","CEO: Dr. Michael S. Lebby, Yves LeMaitre, VPE: Dr. John Zyskind","Douglas County, Colorado"
,SilOriX ,5,"energy-efficient electro-optic modulators using Silicon Organic Hybrid (SOH) technology. Vpi < 1V, BW 50GHz, 1250nm - 1650nm","Karlsruhe Institute of Technology (KIT), CEO: Dr. Adrian Mertens, CTO: Dr. Carsten Eschenbaum","Karlsruhe, Germany"
,VIGO Photonics,207,photonic integrated circuits (PICs) for mid-infrared sensing applications (HyperPIC Project) . integrating signal processing into its sensor platforms,"CEO: Dr. Adam Piotrowski, COO: Marcin Szrom","Tomaszow Mazowiecki, Poland and St. Petersburg, Florida, USA and Taipei, Taiwan"
,Opticore,10,AI Computing With Photonic Chip. We accelerate AI computing with 100x energy efficiency and chip computing density. 5M USD Seed Funding,"Founders: Zaijun Chen, Ryan Hamerly, Mengjie Yu, Dirk Englund Affliations: UC Berkeley, MIT, NTT","Fremont, California, USA"
,CogniFiber,13,"Fiber-Based Optical AI Computing, 1000x faster, 100x more efficient, ","Founders: Dr. Eyal Cohen, Prof. Zeev Zalevsky, Affliations: Bar-Ilan University","Rosh HaAyin, Israel"
,Brightlight Photonics,5,"Ti:Sapphire On-Chip Lasers and Amplifiers: Creating high-gain titanium-doped thin-film sapphire devices that are widely tunable (>200 nm), single-frequency laser arrays (power >10 mW, linewidth <5 kHz), and amplifiers (power >100 mW).  Ultra-Low-Loss UV and Visible Photonics: Offering custom photonic solutions with waveguide propagation losses as low as <1 dB/m at 780 nm and <10 dB/m at 400 nm",CEO: Joshua Yang and Alex Place,"Cambridge,
Massachusetts, USA"
,AttoTude,50,"silicon photonics to address the challenges of high-speed networking in AI and hyperscale data centers, 40M USD",Founders:  Dr. Dave Welch and Dr. Joy Laskar,"Menlo Park, California, USA"
,AuthenX Inc,< 50,"Si Ph and IIIV Ph for Co-Packaged Optics (CPO) Switches, Si Ph Interconnects for AI GPU. Fiber to the x",Unknown,"Hsinchu, Taiwan"
,PhotonFirst ,< 50 , Silicon Photonics for Fiber Sensing,CEO: Leendert-Jan Nijstad and CTO:  Nick Singh,"Alkmaar, Netherlands and Eindhoven, Netherlands"
,LuxQuanta,50,"Continuous Variable Quantum Key Distribution (CV-QKD) systems. integrated photonics-based CV-QKD systems. Their flagship product, NOVA LQ®, is designed for secure, long-distance communication","CEO: Vanesa Díaz and CTO: Dr. Sebastián Etcheverry, Affliations: Institute of Photonic Sciences (ICFO)","Castelldefels, Spain"
,Sicoya GmbH ,< 200,monolithically integrated SiPh optical transceivers for data center and telecom,"CEO Dr. Sven Otte. CTO: Dr. Stefan Meister, Dr. Hanjo Rhee","Berlin, Germany"
,NcodiN,< 50,"world's smallest laser integrated on silicon—500 times smaller than industry standards. enables ultra-dense integration (>10,000 devices/mm²) and unmatched energy efficiency (<0.1 pJ/bit),","CEO: Dr. Francesco Manegatti, CTO: Dr. Bruno Garbin","Palaiseau, France"
,Wave Photonics,30,"computational design tools and services to dramatically speed up the photonic integrated circuit (PIC) development cycle, Packaging","James Lee (CEO), Matthew Anderson (CSO), and Mateusz Kubica (CTO), University of Cambridge’s Toshiba Quantum Information Group","Cambridge, United Kingdom"
,Luxtelligence,< 10,thin‑film lithium niobate (TFLN) and lithium tantalate (TFLT) photonics.,"Mohammad Bereyhi, CEO & Co‑Founder. Alberto Beccari, CTO, EPFL spinout","Saint‑Sulpice, Switzerland"
,Luceda Photonics,< 10,photonic integrated circuit (PIC) design software and simulation services,"Pieter Dumon, Joris Geessels, and Martin Fiers, Photonics Research Group at Ghent University (UGent), the B‑PHOT lab at the Vrije Universiteit Brussel (VUB), and IMEC","Dendermonde, Belgium"
,Scantinel Photonics,< 50,"Frequency-Modulated Continuous-Wave (FMCW) LiDAR, leveraging photonic integrated circuits (PICs) to deliver long-range (300 m+), highly integrated, solid-state LiDAR solutions, single-chip scanner-detector PIC FILED FOR INSOLVENCY: 8/25","Andy Zott — CTO & Co‑Founder, Vladimir Davydenko — Co‑Founder","Ulm, Germany"
,Ephos,18,"Glass-based photonic chips for quantum computing, communications, sensing, energy-efficient classical compute",Andrea Rocchetto — CEO and Co-founder,"Milan, Italy"
,Volantis,< 30,"Photonic compute platform: direct laser modulation + on-chip waveguides, Photonic Motherboard for AI: high bandwidth, low power, efficient interconnects","CEO & Founder: Tapa Ghosh, CTO & Co‑Founder: Roy Meade, backers include Sam Altman, Alex Wang (Scale AI founder), Trevor Blackwell (Y Combinator)","San Mateo, California, USA"
,Avicena,< 100,MicroLED-based optical interconnects (LightBundle™) for AI/HPC/memory systems,Founder & CEO: Dr. Bardia Pezeshki. CTO & Co-Founder: Rob Kalman,"Sunnyvale, California and Edinburgh, Scotland"
,Sabratha Photonics,10,"thin-film lithium niobate (TFLN) photonic platform, building blocks include tunable microring resonators (high-Q), ultra-high-speed electro-optic modulators (targeting 5G/6G telecom and datacenter applications), plus Brillouin-active spirals for narrow-band amplification / optical-RF filter functions","Spin-out from University of Twente (UT), Kees Franken (CEO), Steven Ye (CTO), David Marpaung (Chief Scientist)","Enschede, Netherlands"
,MetaLenX,20,"The company focuses on metalens / metasurface optics: design, manufacturing, and industrialization of metalens devices, 13.7 M USD Raised",Unknown ,"Shenzhen, China"
,New Silicon Corporation (nsc),50,"the first to “monolithically integrate compound semiconductors with silicon CMOS” at full wafer scale, rather than relying on packaging or hybrid stacking. embed III-V devices with CMOS Silicon ",Chairman: Eugene (Gene) Fitzgerald; CEO: Dr. Andrew Kim; Chief Scientist: Dr. Kenneth Lee,Singapore
,Neurophos,22,"optical processing units (OPUs) based on metasurface + silicon photonics — using optical modulators built from metamaterials and photonics rather than traditional electronic transistors; claim modulators 10,000x time smaller than SoTA, with 300 TOPS/W","Patrick Bown (CEO), Hod Finkelstein (CTO)","Austin, Texas, USA"
,"Polaris Electro-Optics, Inc.",10,"Polaris is developing a novel electro-optic modulator platform based on proprietary ferroelectric nematic glass / liquid-crystal materials, Datacenters, High Performance Computing","Affliation: University of Colorado Boulder, Morten Nissov (CEO), Cory Pecinovsky (CTO)"," Broomfield, Colorado, USA"
