Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Aluvia Photonics,20,MPW Runs Al2O3 integrated photonic platform; 200nm-3microns; rare-earth doping amplifications,"Steve Stoffels and Michiel de Goede, University of Twente ","Enschede, Netherlands"
,"Quantum Comptuing, Inc. ",50,"Thin Film Lithium Niobate, telecom/datacom. Applications: Quantum, Reservoir, Remote Sensing, Quan. Crypt. ","CEO William McGann, CTO Yong Meng Sua","Tempe, Arizona, USA "
,Applied Nanotools Inc.,50,"Rapid prototyping for PICs, 100 KeV e-beam lithography, 15 nm critical dimension, Interposers, Passive SOI, SiN, MPW",CEO: Mirwais Aktary,"Edmonton, Alberta, Canada"
,Ultra-Low Loss Technologies,< 10 ,"SiN PICs, 0.2 dB/m waveguides","CTO: Renan Moreira, Affliation UCSB","Goleta, California, USA"
,Skorpios Technologies Inc. ,100,"""Tru-SiPh"", III-V heterogeneous integration, CPO, Optical Engines, LiDAR","CEO: Stephen Krasulick, CTO: Damien Lambert","Temecula, California, USA and Albuquerque, New Mexico, USA"
,SiPhotonIC Technologies,10,Rapid & high-precision prototyping of Silicon Photonic Integrated Circuits.,"CEO: Yunhong Ding
 ","Copenhagen, Denmark"
,Cornerstone,20,"220, 340, 500nm SOI, SiN, SOI BOX, Ge-on-Si, MPW, ","Prof. Graham Reed, Prof. Callum Littlejohns, Prof. David Thomas / Affiliations: University of Southampton and Unviersity of Glasgow","Southampton, United Kingdom"
,CEA-Leti,1000," 200 mm and 300 mm CMOS-compatible processes, Photonics SOI, Ultra-Low Loss Si3N4 , SiGe / Si for 3-8 μm wavelengths, Ge / SiGe low loss for 8-12 μm wavelengths","CEO: Sébastien Dauvé, VP: Jean-René Lèquepeys","Grenoble, France"
,Institute of Microelectronics of Barcelona (IMB-CNM-CSIC ),200,"SiN, 20x20mm reticle","Carlos Dominguez, Collab with VLC Photonics","Barcelona, Spain"
,New Origin,10," SiN Manufacturing, Silicon-Oxide-Nitride, Shared facilities with other foundries for large-scale production",CEO: Twan Korthorst,"Enschede, Netherlands"
,Almae Technologies,35,wafer growth and wafer processing of III-V compound semiconductor materials (InGaAsP and AlInGaAs alloys on InP substrate),"CEO: Jean Louis Gentner, CTO: François Lelarge","Marcoussis, France"
,Sivers Photonics,80,"InP100,  high-power DFB lasers for silicon photonic integration,  InP RSOA chip optimised for SiPh Flip-Chip ","CTO: Andrew McKee, Erik Öjefors, Dr Graeme Masterton","Kista, Sweden and Glasgow, United Kingdom and  Edinburgh, Scotland"
,Vector Photonics,20,"Photonic Crystal Surface-Emitting Lasers (PCSEL)-based, III-V semiconductor lasers","CEO: Neil Martin, CTO: Dr. Richard Taylor","Glasgow, United Kingdom"
,Eblana Photonics,40," single frequency DFB laser diodes, Quantum Cascade DFB lasers, VCSELs, superluminescent diodes (SLDs) for LiDAR","CEO: Jim Somers, COO: Chris Herbert","Dublin, Ireland"
